#yr,mo,dy,hr,mn,deg,T m/s,m/s,m,sec,sec,deg,T   hPa,degC,degC,degC,mi,ft
2017,1,5,12,50,72,9.4,10.7,2.16,7.14,5.84,102,1015.9,26.7,26.9,22.1,99,99
2017,1,5,13,50,72,8.3,9.9,2.23,7.14,5.87,98,1016.1,26.7,26.9,22.5,99,99
2017,1,5,14,50,75,8.6,9.8,2.03,6.67,5.87,103,1015.8,26.7,26.9,22.6,99,99
2017,1,5,15,50,78,9.1,10.9,2.11,6.25,5.73,95,1014.7,26.6,27,22.7,99,99
2017,1,5,16,50,75,8.4,9.7,1.97,7.14,5.61,89,1013.8,26.6,27,22.8,99,99
2017,1,5,17,50,86,8.3,9.7,2.01,12.12,5.9,26,1013.2,26.7,27,22.8,99,99
2017,1,5,18,50,79,7.3,8.5,1.96,7.14,5.76,87,1013.8,26.7,27,22.5,99,99
2017,1,5,19,50,77,8.5,9.9,1.93,7.14,5.82,86,1013.8,26.6,27,22.7,99,99
2017,1,5,20,50,77,7.8,9.5,1.94,7.69,5.75,91,1014.2,26.7,26.9,22.8,99,99
2017,1,5,21,50,74,7.4,8.9,1.95,7.69,5.89,89,1014.3,26.6,26.9,23.1,99,99
2017,1,5,22,50,71,8.6,9.9,1.91,7.14,5.96,74,1014.6,26.6,26.9,23.1,99,99
2017,1,5,23,50,73,8.6,9.9,2.08,7.14,5.73,89,1015.4,26.5,26.9,23.1,99,99
2017,1,6,0,50,73,8.1,9.6,2.02,7.14,5.76,93,1015.7,26.6,26.9,23.2,99,99
2017,1,6,1,50,66,8.1,9.6,1.97,7.14,5.63,82,1015.8,26.5,26.9,23.1,99,99
2017,1,6,2,50,73,8.2,10.5,2.13,7.69,5.96,97,1015.5,26.5,26.9,23,99,99
2017,1,6,3,50,72,8.9,10.8,2,6.67,5.71,76,1015.1,26.6,26.9,23,99,99
2017,1,6,4,50,76,9.3,11,2.06,7.14,5.78,100,1014.8,26.6,26.9,22.8,99,99
2017,1,6,5,50,74,8,9.8,2.15,7.69,5.62,89,1014.4,26.2,26.9,23.2,99,99
2017,1,6,6,50,67,9.3,11.1,2,7.14,5.64,73,1014,26.4,26.9,23.1,99,99
2017,1,6,7,50,71,8.7,10.4,2.07,7.69,5.71,81,1014,26.3,26.9,22.8,99,99
2017,1,6,8,50,71,9.1,10.9,2.1,7.69,5.93,79,1014.3,26.3,26.9,22.7,99,99
2017,1,6,9,50,68,8.1,10.7,2.06,10.81,6.05,49,1014.9,26,26.9,22.7,99,99
2017,1,6,10,50,68,9.6,11.1,2.14,7.14,5.86,95,1015.3,25.7,26.9,22.5,99,99
2017,1,6,11,50,70,9.8,11.3,2.42,7.14,5.84,86,1016,25.9,26.9,23,99,99
2017,1,6,12,50,63,10.3,11.9,2.42,7.14,5.76,82,1016.4,25.6,26.9,22.9,99,99
2017,1,6,13,50,76,9.9,11.8,2.49,7.69,5.91,97,1016.4,26.7,26.9,22.4,99,99
2017,1,6,14,50,76,8.8,11.1,2.52,7.69,6.11,95,1016.1,26.8,27,22.4,99,99
2017,1,6,15,50,70,9.6,11.3,2.45,7.69,5.95,96,1015.4,26.6,27,22.3,99,99
2017,1,6,16,50,76,9.1,10.8,2.42,7.69,6.01,100,1014.8,26.5,27,22.5,99,99
2017,1,6,17,50,74,9.7,11.9,2.48,7.69,6.22,97,1014.4,26.5,27,22.2,99,99
2017,1,6,18,50,74,10.1,11.5,2.59,8.33,6.35,94,1014.3,26.5,27,22,99,99
2017,1,6,19,50,67,10,11.7,2.6,10.81,6.24,37,1014.6,26.4,27,22.2,99,99
2017,1,6,20,50,71,10.2,12.1,2.45,7.69,5.97,85,1015.1,26.6,27,21.4,99,99
2017,1,6,21,50,61,9.6,11.6,2.6,8.33,6.28,99,1015.5,26.4,27,21.9,99,99
2017,1,6,22,50,73,10.9,12.9,2.44,10.81,6.33,30,1016,26.4,27,21.9,99,99
2017,1,6,23,50,66,10.4,12.8,2.67,7.69,6.19,93,1016.6,26.3,26.9,22.2,99,99
2017,1,7,0,50,68,9.7,12.2,2.91,8.33,6.34,75,1016.9,26.2,26.9,21.3,99,99
2017,1,7,1,50,66,10.4,11.9,2.81,8.33,6.39,105,1016.8,26.2,26.9,21.2,99,99
2017,1,7,2,50,70,9.4,11.4,3.05,7.69,6.51,96,1016.6,26.1,26.9,20.7,99,99
2017,1,7,3,50,64,10,12.7,2.6,8.33,6.32,87,1016.1,26,26.9,21.3,99,99
2017,1,7,4,50,67,9.5,11.5,2.55,16,6.39,65,1015.6,26,26.9,21.3,99,99
2017,1,7,5,50,63,9.6,11.9,2.82,8.33,6.63,86,1014.9,26,26.9,21.4,99,99
2017,1,7,6,50,67,9.5,11,2.86,7.69,6.67,97,1014.7,25.9,26.9,21.6,99,99
2017,1,7,7,50,59,10.9,13,2.76,8.33,6.42,92,1014.6,25.8,26.9,21.2,99,99
2017,1,7,8,50,55,10.2,12,2.78,8.33,6.56,91,1014.9,25.8,26.9,21.4,99,99
2017,1,7,9,50,49,9,10.6,2.88,8.33,6.5,103,1015.9,24.7,26.8,21.9,99,99
2017,1,7,10,50,51,10.7,13,2.8,8.33,6.67,81,1016.2,25.9,26.8,21.6,99,99
2017,1,7,11,50,51,10.5,12.9,3.01,14.81,6.64,38,1016.9,25.9,26.8,21.2,99,99
2017,1,7,12,50,54,11.3,13.5,3.07,14.81,6.6,45,1017.2,25.9,26.8,20.7,99,99
2017,1,7,13,50,58,10.9,12.6,2.8,14.81,6.46,57,1017.2,26,26.8,20.5,99,99
2017,1,7,14,50,62,11.3,13.5,3.09,7.69,6.35,89,1016.6,26.2,26.9,18.8,99,99
2017,1,7,15,50,61,10.7,13.1,2.92,7.69,6.37,82,1015.7,26,26.9,19.6,99,99
2017,1,7,16,50,63,10.5,13.3,2.68,13.79,6.3,51,1015.1,26.1,26.9,19.8,99,99
2017,1,7,17,50,69,9.1,10.6,3.02,7.14,6.59,79,1014.6,26.1,26.9,19.9,99,99
2017,1,7,18,50,63,9.7,11.5,2.66,8.33,6.4,84,1013.9,25.9,26.9,20.7,99,99
2017,1,7,19,50,58,10.4,12.5,2.9,7.14,6.54,82,1013.8,26,26.9,20.5,99,99
2017,1,7,20,50,62,10.4,12.1,2.83,13.79,6.48,47,1014.1,26,26.9,20.2,99,99
2017,1,7,21,50,64,9.1,11.1,2.69,7.69,6.48,86,1014.8,26,26.8,20.4,99,99
2017,1,7,22,50,59,9.7,11.4,2.96,13.79,6.81,43,1015.2,26.1,26.8,20,99,99
2017,1,7,23,50,60,9.6,11.5,2.76,13.79,6.6,52,1015.8,26.1,26.8,19,99,99
2017,1,8,0,50,65,9,10.7,2.81,8.33,6.57,102,1015.8,26,26.8,19.4,99,99
2017,1,8,1,50,66,9.8,11.8,2.83,13.79,6.61,38,1015.8,26,26.8,19.2,99,99
2017,1,8,2,50,73,9.1,11.1,2.76,8.33,6.73,89,1015.6,26,26.8,19.1,99,99
2017,1,8,3,50,60,10,11.6,2.8,8.33,6.83,80,1015.3,25.8,26.7,20.5,99,99
2017,1,8,4,50,62,10.2,12.7,2.67,8.33,6.35,75,1014.9,25.9,26.7,18.9,99,99
2017,1,8,5,50,64,8.4,10.6,2.54,12.9,6.37,48,1014.8,26.1,26.7,17.9,99,99
2017,1,8,6,50,65,8.3,9.6,2.65,7.69,6.44,60,1014.3,25.7,26.7,18.9,99,99
2017,1,8,7,50,71,7,8.3,2.9,12.9,6.81,46,1014.4,25.7,26.7,19.2,99,99
2017,1,8,8,50,47,6.5,7.7,2.48,8.33,6.54,76,1014.7,25.1,26.7,20.4,99,99
2017,1,8,9,50,60,9.8,12,2.57,8.33,6.57,109,1015,25.4,26.7,20.4,99,99
2017,1,8,10,50,55,9.3,11.4,2.65,7.69,6.81,81,1015.7,25.7,26.8,20,99,99
2017,1,8,11,50,62,8.7,10.6,2.61,12.9,6.49,52,1016.6,25.9,26.8,18.8,99,99
